user_id,age,country,device,tenure_days,exp1_group,watch_time_seconds,exp2_group,clicked,exp3_group,app_opens,exp4_group,session_length_minutes
u_000060,21,US,Android,131,treatment,118.3,control,0,treatment,7.3,control,4.9
u_000061,22,IN,iOS,464,treatment,122.5,treatment,0,treatment,10.7,treatment,11.59
u_000062,17,US,Android,378,control,242.9,treatment,0,treatment,10.9,control,0.63
u_000063,16,UK,Android,5,control,181.5,control,0,treatment,19.2,control,10.28
u_000064,28,BR,iOS,168,control,230.1,treatment,0,control,12.6,treatment,3.9
u_000065,32,IN,Android,168,treatment,177.8,control,0,control,11.8,treatment,9.77
u_000066,23,US,iOS,464,control,201.8,treatment,0,treatment,8.4,treatment,12.17
u_000067,30,US,iOS,224,control,316.8,control,0,treatment,10.8,control,8.4
u_000068,26,US,iOS,106,treatment,272.5,control,0,control,11.4,treatment,17.79
u_000069,20,US,Android,9,control,124.1,control,0,treatment,10.9,treatment,11.99
u_000070,26,IN,Android,16,control,223.9,treatment,0,treatment,10.7,treatment,14.45
u_000071,33,IN,Android,112,treatment,149.8,control,0,treatment,8.8,treatment,14.62
u_000072,23,US,Android,730,control,177.2,treatment,0,control,1.8,treatment,10.3
u_000073,33,US,Android,730,treatment,304.3,control,0,treatment,9.0,control,13.18
u_000074,13,IN,iOS,116,control,138.1,control,0,treatment,13.5,control,3.75
u_000075,28,US,iOS,387,control,182.8,treatment,0,control,7.7,treatment,17.95
u_000076,24,US,iOS,43,control,240.4,treatment,0,treatment,13.5,control,4.2
u_000077,22,IN,iOS,67,treatment,180.7,treatment,0,treatment,10.0,treatment,9.07
u_000078,24,US,Android,86,treatment,198.0,control,0,control,10.6,control,15.53
u_000079,13,DE,Android,216,control,196.1,treatment,0,control,9.9,treatment,11.11
u_000080,22,ID,Android,313,control,158.5,treatment,0,control,9.3,control,8.82
u_000081,26,IN,Android,89,treatment,218.4,treatment,0,treatment,10.5,control,0.5
u_000082,32,US,iOS,112,treatment,184.2,treatment,0,treatment,3.3,treatment,9.74
u_000083,20,US,iOS,13,treatment,292.1,control,0,control,3.7,control,14.2
u_000084,19,US,iOS,58,control,140.3,treatment,0,control,6.7,control,6.28
u_000085,20,US,Android,294,control,167.7,treatment,0,treatment,7.0,treatment,9.68
u_000086,29,IN,iOS,7,treatment,165.9,treatment,0,treatment,15.1,treatment,14.03
u_000087,25,US,iOS,253,treatment,169.3,control,0,control,7.8,control,15.73
u_000088,20,DE,iOS,127,treatment,94.9,treatment,0,control,10.6,treatment,14.74
u_000089,27,FR,Android,56,control,198.9,treatment,0,treatment,10.2,control,5.72
u_000090,24,ID,Android,113,treatment,238.4,treatment,0,control,8.7,control,3.02
u_000091,29,MX,Android,107,treatment,154.4,treatment,0,control,8.8,control,12.89
u_000092,19,UK,Android,668,control,156.9,treatment,0,treatment,6.0,treatment,4.62
u_000093,22,ID,Android,218,control,143.0,treatment,0,control,4.5,treatment,5.77
u_000094,21,US,iOS,95,control,173.0,treatment,0,treatment,4.4,treatment,10.35
u_000095,15,FR,Android,489,control,192.2,treatment,0,treatment,9.0,control,16.53
u_000096,25,ID,iOS,453,control,170.5,treatment,0,treatment,4.3,treatment,17.85
u_000097,25,UK,Android,128,control,161.9,control,0,treatment,7.8,control,9.01
u_000098,24,MX,iOS,502,treatment,214.8,treatment,0,treatment,9.7,treatment,2.2
u_000099,22,US,Android,171,control,17.7,treatment,0,treatment,11.2,control,9.16
u_000100,15,IN,iOS,234,control,184.0,control,0,treatment,2.7,control,2.53
u_000101,21,DE,Android,113,treatment,124.4,control,0,control,7.1,control,6.58
u_000102,21,UK,iOS,176,control,109.2,treatment,0,treatment,7.1,control,7.65
u_000103,19,ID,iOS,89,control,216.3,treatment,0,treatment,13.3,treatment,16.05
u_000104,23,IN,Android,30,control,198.0,control,0,control,12.8,control,6.34
u_000105,26,IN,iOS,79,treatment,197.5,treatment,0,control,9.3,control,15.65
u_000106,35,ID,Android,89,control,206.6,treatment,0,treatment,6.0,treatment,12.54
u_000107,25,DE,iOS,268,treatment,209.5,control,0,treatment,4.6,control,6.25
u_000108,25,US,Android,92,treatment,155.9,control,0,treatment,8.3,treatment,14.27
u_000109,23,UK,Android,115,treatment,153.9,treatment,1,control,4.8,control,12.73
u_000110,13,IN,iOS,257,control,215.7,treatment,1,treatment,6.8,treatment,13.09
u_000111,23,BR,iOS,138,treatment,156.5,control,0,treatment,10.8,control,10.82
u_000112,24,IN,Android,75,control,226.2,control,0,treatment,7.6,treatment,3.69
u_000113,38,MX,iOS,1,control,172.4,control,0,control,7.4,control,0.5
u_000114,22,MX,Android,246,treatment,245.0,control,0,control,5.0,control,1.6
u_000115,25,IN,Android,457,control,290.2,treatment,0,control,7.8,treatment,8.04
u_000116,23,US,iOS,1,treatment,294.6,treatment,0,treatment,9.4,control,9.25
u_000117,16,US,Android,197,treatment,135.7,treatment,0,control,11.8,control,18.49
u_000118,30,IN,Android,129,treatment,218.2,control,0,treatment,7.8,treatment,10.02
u_000119,28,FR,iOS,318,control,90.1,control,0,treatment,3.3,control,3.73
u_000120,28,BR,Android,32,control,218.8,control,0,treatment,11.6,control,17.92
u_000121,18,IN,Android,78,control,153.4,treatment,0,treatment,3.2,control,1.46
u_000122,32,ID,iOS,17,treatment,124.5,treatment,0,treatment,6.8,control,8.4
u_000123,15,US,iOS,56,control,178.1,treatment,0,treatment,9.8,treatment,10.86
u_000124,27,US,iOS,117,control,136.2,control,0,control,13.0,treatment,13.07
u_000125,37,UK,Android,450,control,64.7,control,0,treatment,11.6,treatment,10.2
u_000126,18,FR,iOS,42,control,125.9,control,0,treatment,3.0,control,14.02
u_000127,20,DE,Android,210,control,251.1,treatment,0,treatment,9.0,treatment,9.39
u_000128,24,ID,Android,221,control,174.7,control,0,treatment,2.1,treatment,13.53
u_000129,20,IN,iOS,23,control,142.2,control,0,treatment,5.7,control,12.63
u_000130,14,BR,Android,666,control,170.9,treatment,0,treatment,9.8,treatment,6.86
u_000131,24,UK,iOS,33,control,157.7,control,0,control,11.1,treatment,8.38
u_000132,17,ID,Android,10,treatment,287.6,control,0,control,9.9,control,18.81
u_000133,26,IN,Android,617,treatment,304.8,control,0,control,6.7,control,14.32
u_000134,18,US,iOS,84,treatment,222.1,control,0,treatment,6.4,treatment,18.52
u_000135,33,US,iOS,60,control,123.6,treatment,0,control,8.3,treatment,7.09
u_000136,19,BR,iOS,62,treatment,83.0,control,0,treatment,10.7,control,15.72
u_000137,22,ID,iOS,2,treatment,218.2,control,0,treatment,4.5,treatment,9.76
u_000138,28,US,iOS,200,treatment,187.9,control,0,control,7.0,treatment,12.93
u_000139,16,MX,iOS,257,control,303.5,treatment,0,control,11.3,control,1.15
u_000140,25,MX,Android,105,control,66.9,treatment,0,control,8.2,control,3.3
u_000141,31,ID,iOS,43,treatment,130.0,control,0,treatment,5.5,treatment,2.86
u_000142,14,ID,iOS,107,treatment,185.8,control,0,control,8.9,control,12.06
u_000143,25,US,iOS,512,control,121.9,control,0,control,10.3,control,6.07
u_000144,25,DE,iOS,31,control,90.3,control,0,treatment,5.2,control,11.34
u_000145,28,UK,iOS,12,treatment,164.7,treatment,0,control,6.7,control,19.18
u_000146,16,US,Android,79,control,153.2,treatment,1,treatment,6.9,control,10.61
u_000147,16,BR,iOS,426,control,184.6,treatment,0,control,7.8,treatment,5.46
u_000148,27,IN,iOS,83,control,226.9,control,0,treatment,6.0,control,11.26
u_000149,25,FR,Android,231,treatment,155.5,control,0,treatment,6.5,treatment,15.13
u_000150,25,IN,iOS,6,treatment,265.2,treatment,0,control,11.0,treatment,11.99
u_000151,26,US,iOS,74,control,235.6,treatment,0,control,7.8,treatment,14.97
u_000152,19,FR,iOS,158,treatment,205.0,control,0,control,9.3,control,10.37
u_000153,25,IN,Android,131,treatment,300.7,control,1,treatment,7.8,control,2.21
u_000154,25,IN,iOS,144,control,85.4,control,0,control,9.0,control,11.25
u_000155,19,IN,Android,99,control,224.3,control,0,control,11.4,treatment,19.97
u_000156,35,DE,Android,171,treatment,113.8,control,0,control,10.1,control,8.55
u_000157,26,UK,Android,315,control,220.8,control,0,treatment,10.6,treatment,4.85
u_000158,16,US,Android,15,treatment,256.9,control,0,control,4.1,control,16.13
u_000159,27,IN,iOS,88,control,278.3,control,0,control,5.0,control,5.44
u_000160,18,FR,Android,230,control,242.6,treatment,0,treatment,4.3,control,6.1
u_000161,28,UK,Android,281,control,88.6,treatment,0,control,8.8,treatment,17.82
u_000162,30,UK,Android,175,control,214.1,treatment,0,treatment,15.1,treatment,10.42
u_000163,19,ID,Android,89,control,208.9,control,0,treatment,9.0,control,12.75
u_000164,29,MX,iOS,55,control,54.9,control,0,treatment,7.5,treatment,16.79
u_000165,26,IN,iOS,122,control,130.9,treatment,0,treatment,5.8,control,9.54
u_000166,28,DE,Android,76,treatment,184.1,treatment,0,treatment,10.4,control,9.96
u_000167,35,US,Android,202,control,97.0,treatment,1,treatment,4.6,treatment,1.12
u_000168,22,IN,iOS,225,treatment,137.5,treatment,0,treatment,6.0,treatment,7.44
u_000169,19,IN,Android,135,treatment,263.7,treatment,0,treatment,15.3,control,4.35
u_000170,18,UK,iOS,296,treatment,211.5,control,0,treatment,6.8,control,8.98
u_000171,19,US,iOS,23,control,181.1,treatment,0,control,14.1,treatment,2.38
u_000172,23,UK,Android,391,treatment,120.2,control,0,control,10.7,control,7.18
u_000173,26,US,Android,24,treatment,162.1,control,0,control,3.5,control,16.71
u_000174,25,ID,Android,207,control,164.7,control,0,control,9.1,treatment,8.98
u_000175,28,ID,Android,92,control,267.3,control,0,treatment,3.2,control,5.72
u_000176,24,IN,Android,106,control,125.3,control,0,treatment,7.2,control,13.38
u_000177,32,UK,Android,465,treatment,274.4,control,0,control,11.9,treatment,10.94
u_000178,22,IN,Android,136,control,174.2,control,0,treatment,8.4,control,7.84
u_000179,40,FR,iOS,30,treatment,148.6,treatment,1,control,10.1,treatment,13.2
u_000180,27,BR,Android,221,control,312.1,control,0,treatment,9.8,control,9.84
u_000181,18,ID,Android,380,control,225.1,control,0,treatment,13.1,treatment,11.25
u_000182,17,US,Android,466,treatment,136.5,control,0,control,11.8,control,9.54
u_000183,26,US,iOS,92,treatment,225.7,control,0,control,6.9,treatment,21.77
u_000184,22,US,iOS,301,treatment,191.6,treatment,0,control,10.9,treatment,8.16
u_000185,28,IN,iOS,235,treatment,211.0,control,0,control,7.9,control,8.49
u_000186,26,ID,Android,411,treatment,298.2,control,1,treatment,9.0,treatment,3.48
u_000187,23,MX,Android,244,control,50.9,control,0,control,7.3,control,12.67
u_000188,18,ID,iOS,338,control,189.1,control,0,control,11.0,control,1.41
u_000189,14,DE,Android,96,control,184.8,control,0,treatment,3.8,treatment,10.09
u_000190,21,US,Android,119,control,230.4,control,0,treatment,4.6,control,10.11
u_000191,29,DE,Android,41,treatment,182.0,control,0,control,14.7,treatment,10.99
u_000192,25,ID,iOS,187,treatment,129.9,control,0,treatment,4.7,treatment,9.83
u_000193,16,US,Android,22,control,237.1,treatment,0,control,10.3,treatment,9.19
u_000194,25,ID,Android,58,control,109.0,treatment,0,treatment,7.7,control,13.87
u_000195,26,IN,Android,227,control,112.0,treatment,0,treatment,9.6,control,17.55
u_000196,18,IN,Android,423,treatment,131.9,control,0,control,8.7,control,13.74
u_000197,24,US,Android,290,control,144.5,control,0,control,7.7,treatment,11.87
u_000198,24,IN,Android,153,treatment,189.0,control,0,control,6.9,treatment,15.78
u_000199,17,US,iOS,483,treatment,220.3,control,0,treatment,9.5,treatment,6.65
u_000200,26,US,Android,182,treatment,201.1,control,0,control,7.4,treatment,19.23
u_000201,27,DE,Android,43,treatment,236.9,control,0,control,8.5,control,12.36
u_000202,30,BR,iOS,101,control,218.6,control,0,treatment,8.0,control,9.73
u_000203,30,IN,Android,363,control,288.2,treatment,0,control,4.7,control,12.0
u_000204,15,IN,Android,465,treatment,180.7,treatment,0,treatment,9.8,treatment,8.98
u_000205,18,DE,iOS,437,treatment,226.2,treatment,0,treatment,6.7,treatment,6.04
u_000206,27,UK,Android,7,treatment,292.4,control,0,control,9.7,control,4.86
u_000207,27,IN,Android,186,treatment,232.0,control,0,treatment,9.9,treatment,10.81
u_000208,27,MX,Android,124,treatment,157.7,treatment,0,control,8.4,control,12.98
u_000209,47,US,iOS,105,control,131.6,control,0,control,14.0,treatment,7.54
u_000210,27,ID,Android,14,control,234.8,treatment,0,control,11.5,control,4.57
u_000211,30,IN,Android,86,control,211.3,treatment,0,treatment,8.3,treatment,4.97
u_000212,29,IN,Android,112,control,169.5,treatment,0,treatment,9.1,treatment,11.01
u_000213,27,MX,Android,64,control,334.3,treatment,0,control,9.3,treatment,8.15
u_000214,22,FR,Android,271,treatment,143.9,treatment,0,control,5.8,control,0.62
u_000215,28,DE,Android,41,treatment,106.6,treatment,0,treatment,10.6,control,1.83
u_000216,19,US,Android,84,control,148.5,control,0,control,1.0,control,9.74
u_000217,22,US,Android,130,control,257.7,treatment,0,control,9.9,treatment,3.28
u_000218,21,IN,Android,138,control,96.3,treatment,0,control,13.9,control,6.7
u_000219,24,ID,iOS,29,treatment,132.7,treatment,0,treatment,9.9,control,8.16
u_000220,37,IN,iOS,12,treatment,176.6,treatment,0,control,9.6,treatment,7.04
u_000221,13,DE,iOS,378,treatment,243.7,control,0,control,10.5,treatment,15.96
u_000222,28,US,iOS,23,treatment,186.6,treatment,0,treatment,8.8,control,13.14
u_000223,14,UK,Android,186,treatment,196.3,treatment,0,treatment,11.9,control,5.15
u_000224,21,US,iOS,227,treatment,345.5,treatment,0,control,11.2,treatment,7.26
u_000225,30,ID,Android,280,treatment,189.9,control,0,treatment,12.6,treatment,13.4
u_000226,24,IN,Android,17,control,138.1,control,0,control,16.1,control,11.42
u_000227,17,US,Android,63,treatment,249.3,treatment,0,control,3.8,control,1.68
u_000228,19,MX,iOS,39,treatment,220.3,control,0,treatment,7.6,control,13.24
u_000229,28,IN,Android,8,treatment,234.1,control,0,treatment,6.3,treatment,12.2
u_000230,19,UK,Android,176,control,170.1,treatment,0,treatment,11.7,treatment,8.14
u_000231,25,US,Android,29,control,148.4,treatment,0,treatment,14.1,treatment,13.22
u_000232,24,FR,Android,37,treatment,172.5,treatment,0,control,9.6,control,19.33
u_000233,20,FR,iOS,101,control,131.0,treatment,0,control,15.6,control,8.21
u_000234,36,US,iOS,22,treatment,232.7,control,0,treatment,17.6,treatment,11.9
u_000235,27,US,Android,178,control,197.1,control,0,treatment,7.2,treatment,7.76
u_000236,13,BR,Android,272,treatment,230.9,treatment,0,treatment,10.5,treatment,17.81
u_000237,25,ID,iOS,167,treatment,150.3,treatment,0,treatment,8.8,control,5.92
u_000238,20,IN,iOS,98,control,171.8,control,0,control,10.0,control,17.33
u_000239,29,BR,iOS,319,treatment,277.0,treatment,0,control,9.0,treatment,10.87
u_000240,19,ID,Android,301,treatment,123.7,treatment,0,control,6.9,control,9.76
u_000241,23,FR,Android,432,control,187.7,control,0,control,10.8,treatment,12.43
u_000242,27,ID,iOS,424,treatment,182.7,treatment,0,treatment,9.0,treatment,11.69
u_000243,29,US,Android,298,control,179.6,control,0,treatment,4.4,control,9.47
u_000244,16,ID,Android,149,control,256.5,control,0,treatment,12.8,treatment,11.46
u_000245,21,US,Android,2,treatment,203.4,treatment,0,treatment,11.2,control,7.59
u_000246,21,IN,iOS,232,control,261.8,control,0,treatment,6.2,control,21.97
u_000247,20,IN,Android,118,control,343.4,treatment,0,treatment,9.8,control,6.18
u_000248,34,MX,Android,16,control,228.5,control,0,control,0.0,control,1.94
u_000249,26,US,Android,235,control,182.8,control,0,control,5.9,treatment,9.38
u_000250,16,DE,iOS,94,control,223.4,control,0,treatment,7.5,treatment,8.58
u_000251,29,ID,Android,80,treatment,201.2,control,0,treatment,17.2,treatment,11.66
u_000252,36,US,iOS,296,treatment,200.3,treatment,0,control,10.7,control,7.61
u_000253,30,US,iOS,62,treatment,279.4,treatment,0,control,3.9,control,13.89
u_000254,14,US,Android,56,treatment,120.6,control,0,treatment,10.1,treatment,2.91
u_000255,21,MX,Android,48,control,203.3,treatment,0,treatment,14.7,control,0.69
u_000256,31,US,Android,52,control,195.8,control,0,treatment,5.6,treatment,1.28
u_000257,19,US,Android,149,treatment,185.8,treatment,0,control,9.2,control,16.58
u_000258,26,US,iOS,300,treatment,193.3,treatment,0,treatment,2.9,control,6.95
u_000259,28,BR,Android,580,treatment,265.1,treatment,0,treatment,16.1,treatment,8.37
u_000260,18,IN,iOS,1,treatment,120.7,control,0,control,9.0,treatment,14.28
u_000261,23,US,Android,45,treatment,128.9,control,0,treatment,10.7,control,13.88
u_000262,13,FR,Android,112,treatment,167.7,control,0,control,8.9,treatment,6.16
u_000263,17,DE,iOS,730,treatment,217.7,control,0,control,12.3,treatment,16.2
u_000264,22,UK,iOS,359,control,219.8,control,0,treatment,8.8,treatment,5.76
u_000265,16,IN,Android,68,control,145.1,control,0,control,9.5,treatment,14.82
u_000266,33,IN,iOS,75,control,133.0,control,0,treatment,9.7,control,8.24
u_000267,15,MX,iOS,4,control,160.8,treatment,0,control,11.4,control,6.04
u_000268,21,IN,iOS,234,control,140.3,control,0,treatment,3.8,control,9.54
u_000269,24,IN,iOS,263,treatment,241.1,treatment,0,control,8.9,control,6.71
u_000270,32,IN,Android,48,treatment,231.8,treatment,0,treatment,7.7,treatment,12.72
u_000271,15,MX,Android,313,treatment,200.6,control,0,treatment,9.4,treatment,11.3
u_000272,30,BR,Android,129,control,197.5,control,0,treatment,8.9,treatment,8.64
u_000273,24,MX,Android,112,treatment,203.8,treatment,0,treatment,10.6,control,12.87
u_000274,18,US,iOS,97,control,209.1,treatment,0,treatment,8.6,treatment,9.61
u_000275,26,DE,Android,162,treatment,269.8,treatment,0,treatment,9.7,treatment,8.55
u_000276,25,MX,iOS,147,control,173.0,control,0,control,3.6,treatment,9.37
u_000277,20,MX,iOS,231,treatment,64.8,control,0,control,4.1,control,11.81
u_000278,24,US,iOS,116,control,148.3,control,0,treatment,13.6,treatment,14.09
u_000279,21,UK,iOS,48,treatment,145.8,control,0,control,7.9,treatment,9.75
u_000280,24,FR,iOS,27,control,213.7,treatment,0,treatment,10.2,control,7.6
u_000281,27,FR,Android,39,treatment,148.2,treatment,0,treatment,11.0,control,10.75
u_000282,33,US,iOS,76,treatment,224.1,treatment,0,treatment,5.2,treatment,14.35
u_000283,16,IN,Android,503,treatment,240.7,control,0,control,10.2,treatment,10.6
u_000284,36,US,iOS,214,treatment,262.7,control,0,control,7.2,control,5.69
u_000285,13,UK,Android,98,treatment,241.1,treatment,0,treatment,12.9,control,13.32
u_000286,23,US,Android,30,treatment,232.6,control,0,treatment,1.1,treatment,12.94
u_000287,27,US,iOS,238,control,146.5,treatment,0,control,9.5,treatment,4.67
u_000288,25,BR,iOS,99,control,259.2,treatment,0,control,10.1,control,15.5
u_000289,20,US,iOS,264,control,188.8,control,0,control,5.7,control,4.22
u_000290,22,FR,Android,308,control,171.9,treatment,0,control,7.9,treatment,6.48
u_000291,21,IN,Android,158,control,281.0,treatment,1,control,3.3,control,7.83
u_000292,20,IN,Android,302,treatment,207.5,control,0,control,7.2,control,17.44
u_000293,29,DE,iOS,155,treatment,236.1,treatment,0,control,15.4,control,17.58
u_000294,26,BR,iOS,126,treatment,162.1,treatment,0,control,6.8,treatment,6.56
u_000295,19,US,iOS,262,treatment,191.1,control,1,control,8.2,treatment,7.32
u_000296,29,IN,Android,96,treatment,226.8,treatment,0,treatment,6.9,treatment,16.41
u_000297,25,IN,iOS,174,control,239.8,treatment,0,control,15.3,control,8.5
u_000298,28,MX,Android,87,treatment,168.3,treatment,0,control,11.4,control,9.22
u_000299,27,ID,iOS,497,treatment,239.0,control,0,treatment,4.6,control,9.81
u_000300,19,IN,Android,220,control,138.5,treatment,0,treatment,6.0,treatment,12.49
u_000301,20,IN,iOS,369,control,189.9,control,0,treatment,14.4,control,12.19
u_000302,28,IN,Android,134,treatment,230.5,treatment,0,control,7.1,treatment,14.93
u_000303,27,IN,iOS,391,treatment,185.6,treatment,0,control,2.4,treatment,2.76
u_000304,23,US,iOS,144,control,213.4,control,0,treatment,7.9,control,7.46
u_000305,24,DE,iOS,253,control,178.6,treatment,0,treatment,9.5,treatment,14.51
u_000306,31,ID,iOS,246,treatment,197.8,treatment,0,treatment,7.1,treatment,4.99
u_000307,20,IN,iOS,16,treatment,239.3,control,0,treatment,12.3,control,8.6
u_000308,27,BR,Android,82,control,203.3,treatment,0,treatment,9.9,control,11.01
u_000309,22,US,Android,730,treatment,159.6,control,0,treatment,11.2,control,3.39
u_000310,22,IN,iOS,43,treatment,267.2,control,0,control,11.2,treatment,13.83
u_000311,30,ID,Android,79,treatment,129.0,control,0,control,2.7,control,0.71
u_000312,28,IN,Android,685,control,214.6,control,0,control,9.9,treatment,2.68
u_000313,28,IN,Android,72,treatment,206.5,treatment,0,control,11.8,control,10.38
u_000314,31,IN,Android,313,treatment,223.6,treatment,0,treatment,7.4,control,11.0
u_000315,24,MX,Android,102,control,127.8,treatment,0,treatment,9.8,control,12.69
u_000316,28,MX,iOS,490,control,112.0,control,0,treatment,9.4,treatment,8.26
u_000317,22,MX,Android,164,control,212.4,control,1,treatment,11.5,control,10.16
u_000318,25,US,iOS,642,control,187.0,control,0,treatment,10.6,treatment,12.96
u_000319,23,BR,iOS,21,treatment,160.4,control,0,treatment,9.4,treatment,7.32
u_000320,24,MX,Android,56,control,182.1,control,0,treatment,14.3,control,10.73
u_000321,27,BR,Android,164,treatment,231.0,treatment,0,control,12.3,treatment,19.32
u_000322,19,MX,iOS,21,treatment,178.5,treatment,0,treatment,7.1,treatment,9.35
u_000323,36,DE,Android,243,control,84.9,treatment,0,treatment,5.5,control,13.48
u_000324,17,US,Android,484,control,199.4,control,0,treatment,7.7,control,14.79
u_000325,16,UK,iOS,182,treatment,132.2,control,0,control,7.0,control,10.28
u_000326,30,BR,Android,217,control,196.2,control,0,control,9.1,control,18.15
u_000327,28,UK,Android,30,treatment,161.8,treatment,0,control,3.9,treatment,15.27
u_000328,27,FR,iOS,183,treatment,230.0,control,0,control,8.8,control,5.36
u_000329,27,US,iOS,102,control,209.3,control,0,control,12.2,control,9.46
u_000330,23,IN,iOS,252,treatment,219.5,treatment,0,treatment,8.3,control,6.71
u_000331,18,FR,iOS,65,treatment,223.6,control,0,control,7.8,treatment,4.05
u_000332,24,US,iOS,196,control,124.7,treatment,0,treatment,9.1,control,8.22
u_000333,19,IN,Android,14,control,205.7,control,0,control,8.7,control,5.73
u_000334,29,UK,Android,66,treatment,169.8,control,0,treatment,9.7,treatment,16.15
u_000335,23,MX,iOS,164,treatment,164.8,control,1,control,8.4,control,11.18
u_000336,19,UK,Android,152,control,169.2,control,0,treatment,10.6,control,16.01
